SKU,Producto,Categoria,Marca,Precio,Stock,Fecha_Ingreso,Proveedor
SKU-10229,Mancuernas de Neopreno 5kg,Deportes,Xiaomi,5424.57,44.0,28/11/2025,Distribuidora Global S.A.
SKU-10230,"  Laptop Portátil 15.6""  ",,Loreal,8323.51,153.0,23/03/2025,Distribuidora del Norte
SKU-10231,Cojín Decorativo Algodón,Hogar y Cocina,Adidas,1266.99,102.0,08/03/2025,Distribuidora Nacional
SKU-10232,Cojín Decorativo Algodón,Hogar y Cocina,Maybelline,3445.42,282.0,20/03/2025,Distribuidora Nacional
SKU-10233,  Juego de Sábanas Matrimonial  ,Hogar y Cocina,Xiaomi,6525.05,269.0,,Distribuidora Comercial Integradora
SKU-10234,Auriculares Bluetooth inalámbricos,Electrónica,Philips,,230.0,22/08/2025,Distribuidora del Norte
SKU-10235,Set de Brochas Cosméticas,Belleza,Maybelline,535.89,66.0,17/07/2025,Distribuidora Nacional
SKU-10236,"Laptop Portátil 15.6""",Electrónica,,8646.93,82.0,2025-06-23,Distribuidora Comercial Integradora
SKU-10237,Licuadora de Alta Potencia,,Oster,1926.46,282.0,05/05/2025,Distribuidora Comercial Integradora
SKU-10238,Perfume Floral Dama 100ml,Belleza,Loreal,1638.01,303.0,2025-10-05,Distribuidora Comercial Integradora
SKU-10239,Kit de Maquillaje Profesional,Belleza,Lenovo,2317.36,21.0,2025-01-03,Distribuidora Comercial Integradora
SKU-10240,  Aspiradora Robot Inteligente  ,Hogar y Cocina,Adidas,6948.24,213.0,2025-10-21,Distribuidora Comercial Integradora
SKU-10241,Aspiradora Robot Inteligente,Hogar y Cocina,Oster,4448.91,350.0,2025-07-10,Distribuidora Nacional
SKU-10242,Chaqueta de Invierno Impermeable,Ropa y Calzado,Levis,1000.59,104.0,2025-06-20,Distribuidora Global S.A.
SKU-10243,Juego de Sábanas Matrimonial,Hogar y Cocina,Nike,6892.85,263.0,2025-09-04,Distribuidora Sur Express
SKU-10244,Consola de Videojuegos 1TB,Electrónica,,7326.09,49.0,10/01/2025,Distribuidora Comercial Integradora
SKU-10245,Mancuernas de Neopreno 5kg,Deportes,Lenovo,10842.38,167.0,,Distribuidora del Norte
SKU-10246,Mochila de Senderismo 40L,Deportes,Zara,6060.3,157.0,2025-08-01,Distribuidora Sur Express
SKU-10247,Secador de Cabello Iónico,Belleza,,615.56,180.0,2025-01-02,Distribuidora Comercial Integradora
SKU-10248,Tapete de Yoga Antideslizante,Deportes,Loreal,246.9,,05/07/2025,Distribuidora Global S.A.
SKU-10249,Tapete de Yoga Antideslizante,Deportes,Samsung,4896.89,291.0,2025-09-07,Distribuidora Global S.A.
SKU-10250,Smartphone Android 128GB,Electrónica,Loreal,12083.33,281.0,27/05/2025,Distribuidora Comercial Integradora
SKU-10251,Auriculares Bluetooth inalámbricos,Electrónica,Sony,10756.74,173.0,12/09/2025,Distribuidora del Norte
SKU-10252,Sérum Ácido Hialurónico,Belleza,Levis,1299.69,23.0,05/01/2025,Distribuidora Sur Express
SKU-10253,Secador de Cabello Iónico,Belleza,Nike,,263.0,11/03/2025,Distribuidora Global S.A.
SKU-10254,Chaqueta de Invierno Impermeable,Ropa y Calzado,Maybelline,1395.95,153.0,11/10/2025,Distribuidora Comercial Integradora
SKU-10255,Secador de Cabello Iónico,Belleza,Xiaomi,1450.58,243.0,2025-01-12,Distribuidora Nacional
SKU-10256,Mochila de Senderismo 40L,Deportes,Oster,9591.54,322.0,2025-01-20,Distribuidora Comercial Integradora
SKU-10257,Crema Hidratante Facial,Belleza,Xiaomi,222.3,245.0,17/03/2025,Distribuidora Comercial Integradora
SKU-10258,Mancuernas de Neopreno 5kg,Deportes,Lenovo,8216.61,,2025-10-23,Distribuidora Nacional
SKU-10259,Tapete de Yoga Antideslizante,Deportes,Levis,1944.46,104.0,17/07/2025,Distribuidora Sur Express
SKU-10260,"Tablet HD 10""",Electrónica,Nike,13689.06,287.0,2025-06-22,Distribuidora Sur Express
SKU-10261,Cafetera de Filtro Eléctrica,Hogar y Cocina,Zara,8225.69,175.0,12/09/2025,Distribuidora Global S.A.
SKU-10262,Secador de Cabello Iónico,Belleza,Adidas,2397.57,142.0,,Distribuidora Global S.A.
SKU-10263,Aspiradora Robot Inteligente,Hogar y Cocina,Adidas,6273.11,250.0,2025-06-16,Distribuidora Global S.A.
SKU-10264,  Licuadora de Alta Potencia  ,Hogar y Cocina,Maybelline,6153.28,194.0,2025-07-27,Distribuidora del Norte
SKU-10265,Licuadora de Alta Potencia,Hogar y Cocina,Oster,,40.0,15/06/2025,Distribuidora Sur Express
SKU-10266,Camisa Casual Manga Larga,Ropa y Calzado,,1084.8,287.0,2025-12-09,Distribuidora Comercial Integradora
SKU-10267,Crema Hidratante Facial,BELLEZA,Adidas,220.89,271.0,2025-04-21,Distribuidora Nacional
SKU-10268,Tapete de Yoga Antideslizante,Deportes,Xiaomi,5747.99,348.0,01/03/2025,Distribuidora del Norte
SKU-10269,Botella de Agua Térmica,Deportes,Zara,5807.76,102.0,2025-05-11,Distribuidora Nacional
SKU-10270,"Tablet HD 10""",Electrónica,Maybelline,6957.17,19.0,14/03/2025,Distribuidora del Norte
SKU-10271,Smartphone Android 128GB,Electrónica,HP,13141.52,148.0,2025-01-01,Distribuidora Comercial Integradora
SKU-10272,Consola de Videojuegos 1TB,Electrónica,Oster,12177.2,328.0,2025-09-17,Distribuidora del Norte
SKU-10273,Secador de Cabello Iónico,Belleza,Oster,561.94,57.0,06/06/2025,Distribuidora Global S.A.
SKU-10274,Jeans de Mezclilla Hombre,Ropa y Calzado,Xiaomi,,151.0,22/10/2025,Distribuidora del Norte
SKU-10275,Set de Brochas Cosméticas,Belleza,Levis,2084.6,263.0,,Distribuidora Nacional
SKU-10276,Camisa Casual Manga Larga,Ropa y Calzado,Zara,751.58,127.0,2025-01-09,Distribuidora Sur Express
SKU-10277,Juego de Sartenes Antiadherentes,Hogar y Cocina,Oster,5324.65,293.0,09/01/2025,Distribuidora del Norte
SKU-10278,"Tablet HD 10""",Electrónica,Sony,12436.78,81.0,22/07/2025,Distribuidora Global S.A.
SKU-10279,"Tablet HD 10""",Electrónica,Oster,10137.28,113.0,2025-04-05,Distribuidora Sur Express
SKU-10280,Kit de Maquillaje Profesional,Belleza,Levis,1784.36,241.0,26/09/2025,Distribuidora del Norte
SKU-10281,Sudadera con Capucha,Ropa y Calzado,HP,1173.51,41.0,15/09/2025,Distribuidora Global S.A.
SKU-10282,"Laptop Portátil 15.6""",Electrónica,Sony,2951.31,280.0,07/09/2025,Distribuidora del Norte
SKU-10283,Tenis Deportivos Running,Ropa y Calzado,Lenovo,1056.53,59.0,07/11/2025,Distribuidora Sur Express
SKU-10284,"Laptop Portátil 15.6""",Electrónica,Zara,20504.26,,2025-03-17,Distribuidora Comercial Integradora
SKU-10285,"  Laptop Portátil 15.6""  ",Electrónica,Zara,17310.04,157.0,2025-12-01,Distribuidora Nacional
SKU-10286,Vestido Casual de Verano,Ropa y Calzado,Sony,320.2,176.0,03/12/2025,Distribuidora Nacional
SKU-10287,Smartphone Android 128GB,,Samsung,8246.63,92.0,25/03/2025,Distribuidora Sur Express
SKU-10288,Juego de Sábanas Matrimonial,Hogar y Cocina,Zara,7851.66,193.0,03/07/2025,Distribuidora Comercial Integradora
SKU-10289,Sudadera con Capucha,Ropa y Calzado,Lenovo,789.04,91.0,13/09/2025,Distribuidora del Norte
SKU-10290,"Televisor Smart TV 55""",Electrónica,Oster,12380.59,278.0,2025-07-18,Distribuidora del Norte
SKU-10291,Chaqueta de Invierno Impermeable,Ropa y Calzado,Philips,490.44,96.0,2025-12-25,Distribuidora Sur Express
SKU-10292,Perfume Floral Dama 100ml,Belleza,,593.8,51.0,2025-10-02,Distribuidora Nacional
SKU-10293,Sudadera con Capucha,Ropa y Calzado,Samsung,873.51,119.0,07/09/2025,Distribuidora Nacional
SKU-10294,Vestido Casual de Verano,Ropa y Calzado,Oster,612.95,294.0,19/06/2025,Distribuidora Global S.A.
SKU-10295,Tenis Deportivos Running,Ropa y Calzado,Nike,1777.83,266.0,2025-04-14,Distribuidora Nacional
SKU-10296,Sérum Ácido Hialurónico,,Xiaomi,2287.7,320.0,14/11/2025,Distribuidora Nacional
SKU-10297,Aspiradora Robot Inteligente,Hogar y Cocina,Under Armour,3553.16,268.0,2025-06-23,Distribuidora del Norte
SKU-10298,Juego de Sábanas Matrimonial,Hogar y Cocina,Nike,6837.86,242.0,2025-04-28,Distribuidora del Norte
SKU-10299,Balón de Fútbol Profesional,Deportes,Loreal,5040.23,213.0,2025-09-17,Distribuidora del Norte
SKU-10300,  Cafetera de Filtro Eléctrica  ,Hogar y Cocina,Philips,5890.01,230.0,03/06/2025,Distribuidora del Norte
SKU-10301,Consola de Videojuegos 1TB,Electrónica,Levis,17331.29,308.0,,Distribuidora Comercial Integradora
SKU-10302,Crema Hidratante Facial,Belleza,Zara,600.54,170.0,2025-05-01,Distribuidora del Norte
SKU-10303,"Tablet HD 10""",Electrónica,HP,12754.64,,,Distribuidora Sur Express
SKU-10304,  Vestido Casual de Verano  ,Ropa y Calzado,Philips,1452.05,194.0,18/08/2025,Distribuidora Global S.A.
SKU-10305,Juego de Sartenes Antiadherentes,,Loreal,7967.75,238.0,26/02/2025,Distribuidora Sur Express
SKU-10306,Cafetera de Filtro Eléctrica,Hogar y Cocina,Philips,2952.71,23.0,2025-10-28,Distribuidora del Norte
SKU-10307,Consola de Videojuegos 1TB,ELECTRÓNICA,Loreal,23466.82,296.0,2025-12-14,Distribuidora del Norte
SKU-10308,Cafetera de Filtro Eléctrica,Hogar y Cocina,Levis,5213.15,125.0,18/08/2025,Distribuidora Global S.A.
SKU-10309,Juego de Sábanas Matrimonial,Hogar y Cocina,Xiaomi,5845.91,251.0,,Distribuidora Global S.A.
SKU-10310,Camisa Casual Manga Larga,Ropa y Calzado,Xiaomi,1097.15,94.0,21/09/2025,Distribuidora Comercial Integradora
SKU-10311,"Televisor Smart TV 55""",Electrónica,Lenovo,17203.07,3.0,05/07/2025,Distribuidora del Norte
SKU-10312,"Tablet HD 10""",Electrónica,Nike,1714.82,258.0,,Distribuidora Comercial Integradora
SKU-10313,Botella de Agua Térmica,Deportes,,336.42,272.0,2025-09-14,Distribuidora Comercial Integradora
SKU-10314,Cojín Decorativo Algodón,Hogar y Cocina,Oster,349.85,345.0,26/07/2025,Distribuidora del Norte
SKU-10315,"Televisor Smart TV 55""",Electrónica,,4999.09,98.0,2025-10-17,Distribuidora Global S.A.
SKU-10316,Juego de Sábanas Matrimonial,Hogar y Cocina,Sony,3481.85,207.0,2025-08-19,Distribuidora del Norte
SKU-10317,Aspiradora Robot Inteligente,Hogar y Cocina,Lenovo,7660.23,334.0,2025-11-25,Distribuidora Sur Express
SKU-10318,Bicicleta de Montaña R26,Deportes,Loreal,5790.66,326.0,2025-01-23,Distribuidora Sur Express
SKU-10319,Botella de Agua Térmica,Deportes,HP,4075.56,48.0,2025-09-02,Distribuidora Comercial Integradora
SKU-10320,Tapete de Yoga Antideslizante,Deportes,Samsung,11101.29,350.0,18/05/2025,Distribuidora Nacional
SKU-10321,Tenis Deportivos Running,Ropa y Calzado,Samsung,1740.28,300.0,25/03/2025,Distribuidora Sur Express
SKU-10322,Consola de Videojuegos 1TB,Electrónica,Nike,14753.02,290.0,22/07/2025,Distribuidora Global S.A.
SKU-10323,Botella de Agua Térmica,Deportes,Nike,9517.4,40.0,24/09/2025,Distribuidora Nacional
SKU-10324,Smartphone Android 128GB,Electrónica,Adidas,21208.85,174.0,25/10/2025,Distribuidora Comercial Integradora
SKU-10325,  Tapete de Yoga Antideslizante  ,Deportes,Samsung,7664.36,230.0,2025-08-08,Distribuidora Sur Express
SKU-10326,Mancuernas de Neopreno 5kg,Deportes,Under Armour,,194.0,25/02/2025,Distribuidora del Norte
SKU-10327,"Televisor Smart TV 55""",Electrónica,Oster,5124.19,324.0,2025-03-24,Distribuidora Global S.A.
SKU-10328,"Televisor Smart TV 55""",Electrónica,Samsung,23659.57,227.0,2025-06-25,Distribuidora del Norte
SKU-10329,Auriculares Bluetooth inalámbricos,Electrónica,Levis,12047.83,284.0,2025-09-14,Distribuidora Nacional
SKU-10330,Cojín Decorativo Algodón,Hogar y Cocina,Sony,5451.94,166.0,2025-07-01,Distribuidora Sur Express
SKU-10331,"Tablet HD 10""",Electrónica,Loreal,22772.38,124.0,2025-10-17,Distribuidora Sur Express
SKU-10332,Camisa Casual Manga Larga,,Oster,716.75,252.0,2025-03-03,Distribuidora Global S.A.
SKU-10333,Tapete de Yoga Antideslizante,,Zara,9424.6,184.0,08/05/2025,Distribuidora Sur Express
SKU-10334,Sérum Ácido Hialurónico,Belleza,Adidas,1198.33,69.0,01/05/2025,Distribuidora Global S.A.
SKU-10335,Secador de Cabello Iónico,Belleza,HP,2169.14,225.0,14/06/2025,Distribuidora Comercial Integradora
SKU-10336,Tenis Deportivos Running,Ropa y Calzado,Philips,1184.98,102.0,2025-08-11,Distribuidora Sur Express
SKU-10337,Juego de Sartenes Antiadherentes,,Xiaomi,6314.63,251.0,2025-10-26,Distribuidora Sur Express
SKU-10338,Juego de Sábanas Matrimonial,Hogar y Cocina,Philips,1201.21,288.0,,Distribuidora del Norte
SKU-10339,Perfume Floral Dama 100ml,Belleza,Xiaomi,1207.35,107.0,2025-08-26,Distribuidora Nacional
SKU-10340,Botella de Agua Térmica,DEPORTES,Zara,1799.27,155.0,09/04/2025,Distribuidora Sur Express
SKU-10341,Balón de Fútbol Profesional,Deportes,Zara,11889.8,245.0,13/10/2025,Distribuidora Sur Express
SKU-10342,Perfume Floral Dama 100ml,Belleza,HP,2424.2,274.0,21/10/2025,Distribuidora Nacional
SKU-10343,Sudadera con Capucha,ROPA Y CALZADO,Under Armour,800.26,331.0,02/10/2025,Distribuidora Sur Express
SKU-10344,Juego de Sábanas Matrimonial,Hogar y Cocina,Sony,291.82,132.0,17/04/2025,Distribuidora Comercial Integradora
SKU-10345,Set de Brochas Cosméticas,Belleza,Maybelline,629.7,191.0,15/07/2025,Distribuidora Comercial Integradora
SKU-10346,Crema Hidratante Facial,Belleza,Philips,2494.48,247.0,2025-02-10,Distribuidora Nacional
SKU-10347,"Tablet HD 10""",Electrónica,Nike,,175.0,2025-08-26,Distribuidora Sur Express
SKU-10348,Juego de Sábanas Matrimonial,Hogar y Cocina,Sony,4054.86,231.0,,Distribuidora Nacional
SKU-10349,Consola de Videojuegos 1TB,Electrónica,Under Armour,4070.02,84.0,08/12/2025,Distribuidora Comercial Integradora
SKU-10350,Tenis Deportivos Running,Ropa y Calzado,Loreal,,236.0,,Distribuidora del Norte
SKU-10351,Sudadera con Capucha,Ropa y Calzado,Under Armour,,14.0,20/12/2025,Distribuidora Sur Express
SKU-10352,Secador de Cabello Iónico,Belleza,Levis,109.68,109.0,09/04/2025,Distribuidora Nacional
SKU-10353,Perfume Floral Dama 100ml,Belleza,HP,2192.62,,2025-06-11,Distribuidora Nacional
SKU-10354,Aspiradora Robot Inteligente,Hogar y Cocina,Lenovo,4506.46,327.0,2025-06-20,Distribuidora Sur Express
SKU-10355,Perfume Floral Dama 100ml,,Philips,944.12,234.0,06/10/2025,Distribuidora Global S.A.
SKU-10356,Sérum Ácido Hialurónico,Belleza,Sony,1712.74,,2025-02-08,Distribuidora del Norte
SKU-10357,Aspiradora Robot Inteligente,Hogar y Cocina,Nike,4694.26,214.0,05/10/2025,Distribuidora Sur Express
SKU-10358,Chaqueta de Invierno Impermeable,Ropa y Calzado,Under Armour,1082.94,330.0,2025-03-18,Distribuidora Global S.A.
SKU-10359,Camisa Casual Manga Larga,Ropa y Calzado,Philips,1555.08,317.0,2025-01-28,Distribuidora Nacional
SKU-10360,Mancuernas de Neopreno 5kg,Deportes,Adidas,9810.31,287.0,2025-09-21,Distribuidora Sur Express
SKU-10361,Botella de Agua Térmica,Deportes,Lenovo,5409.64,,2025-02-19,Distribuidora del Norte
SKU-10362,Licuadora de Alta Potencia,Hogar y Cocina,Oster,2177.62,147.0,2025-03-25,Distribuidora Sur Express
SKU-10363,Sérum Ácido Hialurónico,Belleza,Sony,1474.09,137.0,27/09/2025,Distribuidora Comercial Integradora
SKU-10364,"Tablet HD 10""",,,14339.3,217.0,24/02/2025,Distribuidora del Norte
SKU-10365,Licuadora de Alta Potencia,Hogar y Cocina,Zara,2511.77,44.0,28/08/2025,Distribuidora del Norte
SKU-10366,Sudadera con Capucha,ropa y calzado,Maybelline,1318.16,312.0,2025-11-14,Distribuidora del Norte
SKU-10367,Camisa Casual Manga Larga,Ropa y Calzado,HP,342.0,179.0,09/09/2025,Distribuidora del Norte
SKU-10368,Aspiradora Robot Inteligente,hogar y cocina,Oster,2745.13,136.0,22/09/2025,Distribuidora del Norte
SKU-10369,Balón de Fútbol Profesional,Deportes,Oster,10424.51,,2025-12-28,Distribuidora del Norte
SKU-10370,Cafetera de Filtro Eléctrica,Hogar y Cocina,HP,7622.29,201.0,05/08/2025,Distribuidora Global S.A.
SKU-10371,Bicicleta de Montaña R26,Deportes,Zara,1044.87,47.0,17/07/2025,Distribuidora Global S.A.
SKU-10372,Bicicleta de Montaña R26,Deportes,Philips,7046.17,47.0,15/12/2025,Distribuidora Global S.A.
SKU-10373,"Laptop Portátil 15.6""",Electrónica,Levis,6619.0,219.0,2025-04-16,Distribuidora Global S.A.
SKU-10374,Cojín Decorativo Algodón,Hogar y Cocina,Maybelline,1348.23,248.0,,Distribuidora Nacional
SKU-10375,"Tablet HD 10""",Electrónica,HP,21162.5,8.0,2025-02-28,Distribuidora Sur Express
SKU-10376,Smartphone Android 128GB,ELECTRÓNICA,Adidas,24898.81,67.0,2025-11-10,Distribuidora Global S.A.
SKU-10377,"  Tablet HD 10""  ",ELECTRÓNICA,Philips,7384.15,190.0,2025-11-21,Distribuidora Sur Express
SKU-10378,Aspiradora Robot Inteligente,Hogar y Cocina,Xiaomi,6845.04,219.0,03/11/2025,Distribuidora Nacional
SKU-10379,Chaqueta de Invierno Impermeable,Ropa y Calzado,Sony,455.68,115.0,2025-09-22,Distribuidora Nacional
SKU-10380,Licuadora de Alta Potencia,Hogar y Cocina,Lenovo,3915.36,67.0,2025-08-03,Distribuidora Nacional
SKU-10381,"Televisor Smart TV 55""",Electrónica,Philips,10137.7,153.0,13/03/2025,Distribuidora del Norte
SKU-10382,Jeans de Mezclilla Hombre,Ropa y Calzado,Loreal,,312.0,2025-11-06,Distribuidora del Norte
SKU-10383,Chaqueta de Invierno Impermeable,Ropa y Calzado,Maybelline,1314.18,111.0,2025-02-04,Distribuidora Nacional
SKU-10384,Set de Brochas Cosméticas,Belleza,Levis,943.04,219.0,2025-06-26,Distribuidora Global S.A.
SKU-10385,Auriculares Bluetooth inalámbricos,Electrónica,Loreal,15623.48,311.0,25/05/2025,Distribuidora Nacional
SKU-10386,Cafetera de Filtro Eléctrica,Hogar y Cocina,Loreal,5539.96,96.0,2025-12-13,Distribuidora Nacional
SKU-10387,Chaqueta de Invierno Impermeable,Ropa y Calzado,Levis,424.75,255.0,2025-11-20,Distribuidora Nacional
SKU-10388,Juego de Sartenes Antiadherentes,Hogar y Cocina,Nike,3603.18,291.0,12/07/2025,Distribuidora del Norte
SKU-10389,Balón de Fútbol Profesional,Deportes,Samsung,7110.26,7.0,2025-05-07,Distribuidora Nacional
SKU-10390,Mochila de Senderismo 40L,Deportes,Oster,7598.56,256.0,14/07/2025,Distribuidora Nacional
SKU-10391,Sérum Ácido Hialurónico,Belleza,Maybelline,465.59,42.0,03/05/2025,Distribuidora del Norte
SKU-10392,Vestido Casual de Verano,Ropa y Calzado,Philips,855.63,324.0,22/11/2025,Distribuidora Global S.A.
SKU-10393,Botella de Agua Térmica,Deportes,Lenovo,2977.85,125.0,2025-02-14,Distribuidora Comercial Integradora
SKU-10394,Perfume Floral Dama 100ml,Belleza,Oster,1698.26,,2025-12-06,Distribuidora del Norte
SKU-10395,Auriculares Bluetooth inalámbricos,,Zara,23895.88,267.0,26/09/2025,Distribuidora Global S.A.
SKU-10396,Tenis Deportivos Running,Ropa y Calzado,Nike,1412.15,137.0,04/12/2025,Distribuidora Nacional
SKU-10397,Juego de Sábanas Matrimonial,Hogar y Cocina,Oster,4808.92,134.0,19/12/2025,Distribuidora Sur Express
SKU-10398,Mochila de Senderismo 40L,DEPORTES,Philips,806.95,290.0,2025-03-12,Distribuidora Nacional
SKU-10399,Set de Brochas Cosméticas,Belleza,Xiaomi,375.92,260.0,02/01/2025,Distribuidora Nacional
SKU-10400,Jeans de Mezclilla Hombre,Ropa y Calzado,,,76.0,2025-03-28,Distribuidora Sur Express
SKU-10401,Tenis Deportivos Running,Ropa y Calzado,,895.2,,2025-05-27,Distribuidora Global S.A.
SKU-10402,"Laptop Portátil 15.6""",Electrónica,Under Armour,22695.61,91.0,26/04/2025,Distribuidora Nacional
SKU-10403,Balón de Fútbol Profesional,Deportes,Zara,10412.48,159.0,03/06/2025,Distribuidora Nacional
SKU-10404,Cafetera de Filtro Eléctrica,Hogar y Cocina,Oster,5160.5,155.0,2025-12-20,Distribuidora Global S.A.
SKU-10405,Secador de Cabello Iónico,Belleza,HP,1961.9,279.0,2025-04-05,Distribuidora Sur Express
SKU-10406,Auriculares Bluetooth inalámbricos,Electrónica,Loreal,9640.96,4.0,01/06/2025,Distribuidora Sur Express
SKU-10407,Licuadora de Alta Potencia,Hogar y Cocina,Adidas,4861.37,121.0,16/07/2025,Distribuidora del Norte
SKU-10408,Licuadora de Alta Potencia,Hogar y Cocina,Samsung,8306.21,266.0,,Distribuidora Sur Express
SKU-10409,"Laptop Portátil 15.6""",Electrónica,Sony,13377.55,326.0,03/07/2025,Distribuidora Nacional
SKU-10410,Botella de Agua Térmica,Deportes,Nike,2955.75,133.0,2025-06-26,Distribuidora Global S.A.
SKU-10411,Juego de Sábanas Matrimonial,Hogar y Cocina,Oster,2254.78,103.0,25/03/2025,Distribuidora Nacional
SKU-10412,Jeans de Mezclilla Hombre,Ropa y Calzado,Nike,946.83,160.0,04/07/2025,Distribuidora del Norte
SKU-10413,Tapete de Yoga Antideslizante,Deportes,Zara,3290.34,61.0,06/02/2025,Distribuidora Global S.A.
SKU-10414,Perfume Floral Dama 100ml,Belleza,Adidas,2106.06,167.0,03/03/2025,Distribuidora Global S.A.
SKU-10415,Mochila de Senderismo 40L,Deportes,Samsung,8174.62,133.0,01/03/2025,Distribuidora Sur Express
SKU-10416,Set de Brochas Cosméticas,Belleza,Loreal,698.9,236.0,26/02/2025,Distribuidora Nacional
SKU-10417,"Televisor Smart TV 55""",Electrónica,Lenovo,19852.56,113.0,07/03/2025,Distribuidora Global S.A.
SKU-10418,"Laptop Portátil 15.6""",Electrónica,Maybelline,7582.29,38.0,2025-01-03,Distribuidora Sur Express
SKU-10419,Jeans de Mezclilla Hombre,,Lenovo,,169.0,02/02/2025,Distribuidora Nacional
SKU-10420,Vestido Casual de Verano,Ropa y Calzado,Levis,1523.61,,2025-08-01,Distribuidora Sur Express
SKU-10421,Tenis Deportivos Running,Ropa y Calzado,Adidas,1657.87,140.0,15/05/2025,Distribuidora Nacional
SKU-10422,Sérum Ácido Hialurónico,Belleza,Maybelline,689.13,151.0,14/08/2025,Distribuidora Sur Express
SKU-10423,"Televisor Smart TV 55""",,Oster,10500.86,214.0,21/04/2025,Distribuidora Comercial Integradora
SKU-10424,Sudadera con Capucha,Ropa y Calzado,HP,1092.67,9.0,26/07/2025,Distribuidora Sur Express
SKU-10425,Secador de Cabello Iónico,Belleza,Philips,2290.34,257.0,2025-06-13,Distribuidora Nacional
SKU-10426,Cojín Decorativo Algodón,Hogar y Cocina,Adidas,456.87,143.0,26/01/2025,Distribuidora Comercial Integradora
SKU-10427,Cojín Decorativo Algodón,Hogar y Cocina,Adidas,8770.02,,2025-04-22,Distribuidora Comercial Integradora
SKU-10428,Auriculares Bluetooth inalámbricos,Electrónica,Maybelline,21392.87,198.0,27/06/2025,Distribuidora del Norte
SKU-10429,Camisa Casual Manga Larga,Ropa y Calzado,Maybelline,742.91,183.0,01/10/2025,Distribuidora Global S.A.
SKU-10430,Sérum Ácido Hialurónico,Belleza,Nike,,96.0,2025-08-18,Distribuidora Sur Express
SKU-10431,"Televisor Smart TV 55""",Electrónica,Samsung,6966.65,112.0,2025-01-17,Distribuidora Global S.A.
SKU-10432,Crema Hidratante Facial,Belleza,,412.31,90.0,2025-06-02,Distribuidora Comercial Integradora
SKU-10433,Jeans de Mezclilla Hombre,Ropa y Calzado,Lenovo,1065.76,186.0,12/02/2025,Distribuidora Sur Express
SKU-10434,Perfume Floral Dama 100ml,Belleza,Philips,823.54,69.0,24/03/2025,Distribuidora Sur Express
SKU-10435,Cafetera de Filtro Eléctrica,Hogar y Cocina,,8723.94,314.0,08/06/2025,Distribuidora del Norte
SKU-10436,Tapete de Yoga Antideslizante,Deportes,Xiaomi,8308.71,65.0,2025-03-24,Distribuidora Comercial Integradora
SKU-10437,Mochila de Senderismo 40L,,Samsung,2307.67,162.0,08/10/2025,Distribuidora Nacional
SKU-10438,Mancuernas de Neopreno 5kg,Deportes,Philips,8982.32,121.0,2025-06-11,Distribuidora Nacional
SKU-10439,Juego de Sábanas Matrimonial,Hogar y Cocina,Samsung,2532.87,127.0,2025-12-03,Distribuidora Nacional
SKU-10440,"Televisor Smart TV 55""",Electrónica,Levis,11798.17,214.0,2025-03-14,Distribuidora Sur Express
SKU-10441,Cojín Decorativo Algodón,Hogar y Cocina,Levis,1091.57,,21/10/2025,Distribuidora del Norte
SKU-10442,Chaqueta de Invierno Impermeable,Ropa y Calzado,Sony,1488.75,,2025-05-01,Distribuidora Nacional
SKU-10443,Consola de Videojuegos 1TB,,Nike,22366.38,82.0,03/12/2025,Distribuidora Nacional
SKU-10444,Cojín Decorativo Algodón,Hogar y Cocina,Maybelline,8059.39,15.0,2025-07-21,Distribuidora Sur Express
SKU-10445,Jeans de Mezclilla Hombre,,Sony,763.2,97.0,23/07/2025,Distribuidora Comercial Integradora
SKU-10446,Aspiradora Robot Inteligente,hogar y cocina,Oster,2816.13,49.0,13/01/2025,Distribuidora Sur Express
SKU-10447,Jeans de Mezclilla Hombre,Ropa y Calzado,Philips,255.91,44.0,27/05/2025,Distribuidora Comercial Integradora
SKU-10448,Mancuernas de Neopreno 5kg,Deportes,Sony,454.97,87.0,10/11/2025,Distribuidora Sur Express
SKU-10449,Consola de Videojuegos 1TB,Electrónica,HP,10840.48,250.0,2025-11-09,Distribuidora Comercial Integradora
SKU-10450,  Mancuernas de Neopreno 5kg  ,Deportes,Philips,10643.09,189.0,2025-03-15,Distribuidora Sur Express
SKU-10451,Tapete de Yoga Antideslizante,Deportes,Adidas,10069.38,288.0,05/01/2025,Distribuidora Nacional
SKU-10452,"Tablet HD 10""",Electrónica,Philips,20492.23,211.0,08/10/2025,Distribuidora Sur Express
SKU-10453,Secador de Cabello Iónico,Belleza,Loreal,1748.65,,,Distribuidora Nacional
SKU-10454,Botella de Agua Térmica,DEPORTES,Samsung,6099.9,264.0,22/10/2025,Distribuidora del Norte
SKU-10455,Smartphone Android 128GB,Electrónica,Nike,23802.94,85.0,2025-04-26,Distribuidora Nacional
SKU-10456,Balón de Fútbol Profesional,Deportes,Under Armour,5309.41,321.0,27/03/2025,Distribuidora Global S.A.
SKU-10457,"Televisor Smart TV 55""",Electrónica,Levis,14574.56,282.0,2025-06-28,Distribuidora Sur Express
SKU-10458,"Tablet HD 10""",Electrónica,Maybelline,15308.04,,2025-02-14,Distribuidora Comercial Integradora
SKU-10459,Sérum Ácido Hialurónico,Belleza,,2415.56,51.0,19/02/2025,Distribuidora Global S.A.
SKU-10460,Kit de Maquillaje Profesional,Belleza,Levis,733.19,335.0,19/08/2025,Distribuidora Nacional
